SoilType,pH_Range,OC_Level,N_Level,P_Level,K_Level,Predicted_Health_Class
Loam,Neutral,Low,Excess,Low,Excess,Critical
Silt,Alkaline,Low,High,Low,Low,Moderate
Clay,Acidic,High,Low,Adequate,Adequate,Poor
Silt,Acidic,High,Adequate,Low,High,Critical
Clay,Slightly Acidic,Very Low,High,Deficient,High,Moderate
Silt,Slightly Acidic,Very High,Low,High,Deficient,Good
Sand,Acidic,Low,Deficient,Adequate,Excess,Good
Sand,Acidic,High,Adequate,Adequate,Deficient,Good
Loam,Alkaline,Very Low,Deficient,Low,Excess,Excellent
Chalk,Slightly Alkaline,Medium,Low,Adequate,Deficient,Moderate
Chalk,Slightly Acidic,Very High,High,High,High,Moderate
Chalk,Neutral,Very Low,Adequate,Adequate,Deficient,Poor
Chalk,Acidic,Medium,Deficient,High,Excess,Critical
Chalk,Alkaline,High,Deficient,Deficient,Excess,Good
Clay,Alkaline,Low,High,Deficient,Adequate,Moderate
Clay,Acidic,Very Low,High,Low,Deficient,Moderate
Loam,Acidic,Low,Low,Low,Low,Moderate
Silt,Neutral,Low,Excess,High,Excess,Good
Sand,Alkaline,Medium,Deficient,Adequate,High,Critical
Clay,Slightly Acidic,Medium,Excess,Adequate,Adequate,Good
Clay,Acidic,Medium,Deficient,Low,Low,Critical
Sand,Acidic,Medium,Deficient,Low,Low,Moderate
Loam,Slightly Alkaline,Very Low,Adequate,Adequate,Deficient,Good
Sand,Slightly Alkaline,High,Excess,Excess,High,Poor
Sand,Neutral,High,Low,Low,Low,Excellent
Sand,Alkaline,Very Low,Adequate,High,Excess,Good
Loam,Slightly Alkaline,Very High,High,Deficient,Excess,Moderate
Loam,Acidic,Very High,Excess,Low,Adequate,Moderate
Sand,Slightly Alkaline,Low,Low,Low,High,Good
Silt,Neutral,High,Excess,Adequate,Adequate,Moderate
Clay,Slightly Acidic,Low,Excess,Low,Low,Moderate
Chalk,Slightly Alkaline,Medium,Excess,Adequate,Low,Critical
Silt,Neutral,Very High,High,High,Deficient,Poor
Silt,Slightly Acidic,Very Low,Excess,Deficient,Deficient,Excellent
Clay,Acidic,Low,Excess,Adequate,Low,Moderate
Chalk,Alkaline,Very High,Adequate,Deficient,Deficient,Poor
Sand,Slightly Alkaline,Low,Low,Excess,Excess,Moderate
Silt,Alkaline,Very Low,Excess,High,Excess,Poor
Loam,Alkaline,Very Low,Excess,Deficient,Low,Excellent
Clay,Slightly Alkaline,Very High,Adequate,Excess,High,Excellent
Sand,Alkaline,High,Low,Low,Deficient,Good
Sand,Slightly Acidic,High,High,High,Low,Moderate
Sand,Neutral,Low,High,Deficient,Adequate,Excellent
Loam,Alkaline,High,Deficient,High,Low,Poor
Silt,Acidic,High,Low,Adequate,High,Good
Chalk,Slightly Alkaline,Very Low,High,Excess,Adequate,Good
Silt,Neutral,Very Low,Low,Excess,Excess,Moderate
Clay,Acidic,High,Deficient,Excess,Adequate,Moderate
Sand,Neutral,Very Low,Low,High,Low,Excellent
Sand,Slightly Acidic,Very Low,Low,Adequate,Excess,Moderate
Loam,Slightly Acidic,High,High,Low,High,Good
Chalk,Slightly Acidic,Very Low,Low,High,Adequate,Excellent
Loam,Slightly Acidic,Very High,High,Deficient,High,Moderate
Clay,Acidic,Very Low,High,Deficient,Adequate,Good
Sand,Neutral,Very High,High,High,High,Poor
Sand,Slightly Acidic,High,Deficient,Deficient,Excess,Good
Silt,Slightly Alkaline,High,Low,Deficient,Adequate,Poor
Clay,Slightly Acidic,Medium,Adequate,Excess,Excess,Poor
Sand,Alkaline,Medium,Deficient,Deficient,Deficient,Moderate
Loam,Slightly Acidic,Very Low,Deficient,Deficient,Deficient,Good
Loam,Alkaline,Medium,Excess,Low,Low,Moderate
Clay,Neutral,High,Deficient,Excess,Deficient,Moderate
Clay,Slightly Acidic,Very High,High,Deficient,Low,Moderate
Sand,Slightly Alkaline,High,Low,High,Low,Excellent
Clay,Slightly Acidic,Low,Adequate,Low,High,Critical
Silt,Slightly Acidic,High,Adequate,Deficient,Deficient,Good
Loam,Neutral,Low,Deficient,High,Deficient,Moderate
Silt,Alkaline,Low,Adequate,Deficient,Adequate,Good
Silt,Slightly Alkaline,Very Low,Low,High,Low,Moderate
Silt,Slightly Alkaline,Medium,Excess,High,Deficient,Good
Loam,Neutral,Very High,Low,Adequate,Adequate,Good
Silt,Slightly Alkaline,Medium,Adequate,Excess,High,Good
Sand,Slightly Alkaline,Medium,Low,Low,Adequate,Moderate
Silt,Neutral,High,Deficient,Low,Excess,Poor
Chalk,Alkaline,Very Low,Deficient,Excess,High,Poor
Sand,Neutral,High,Low,Excess,Deficient,Moderate
Clay,Acidic,Very Low,High,Adequate,Adequate,Excellent
Chalk,Slightly Acidic,Very High,Deficient,High,Adequate,Good
Silt,Slightly Alkaline,High,Adequate,Low,Excess,Moderate
Silt,Alkaline,High,High,Excess,High,Critical
Silt,Slightly Alkaline,Low,High,Adequate,Deficient,Good
Chalk,Slightly Acidic,High,Low,High,Deficient,Excellent
Sand,Slightly Alkaline,Very Low,Low,Low,High,Moderate
Sand,Slightly Acidic,Medium,Excess,Excess,Deficient,Moderate
Chalk,Alkaline,Low,High,Excess,High,Moderate
Silt,Alkaline,Low,Low,Adequate,Adequate,Poor
Silt,Alkaline,Medium,Excess,High,Excess,Good
Chalk,Alkaline,Very High,Excess,Adequate,Low,Poor
Clay,Slightly Alkaline,Very Low,Deficient,Excess,Adequate,Good
Loam,Slightly Acidic,Very High,Adequate,Deficient,Excess,Good
Silt,Slightly Acidic,Very High,Deficient,Excess,Excess,Good
Loam,Slightly Alkaline,Very High,Excess,Excess,Adequate,Good
Sand,Acidic,High,Adequate,Deficient,Low,Good
Clay,Slightly Acidic,High,Adequate,Deficient,Adequate,Good
Clay,Slightly Alkaline,Very High,Adequate,High,Adequate,Moderate
Silt,Slightly Alkaline,Low,Excess,Excess,Low,Good
Sand,Slightly Acidic,Very High,Adequate,Adequate,High,Poor
Sand,Slightly Acidic,Low,Low,Deficient,Excess,Good
Sand,Slightly Alkaline,Low,Adequate,Low,High,Good
Sand,Acidic,Very Low,High,Adequate,Excess,Critical
Silt,Alkaline,Low,Adequate,Deficient,Adequate,Good
Chalk,Acidic,Low,High,Excess,Excess,Critical
Sand,Slightly Acidic,Low,Adequate,Low,High,Good
Loam,Slightly Acidic,Medium,Adequate,Excess,Low,Critical
Silt,Acidic,Medium,Low,Excess,Adequate,Poor
Chalk,Slightly Alkaline,Medium,Deficient,Excess,High,Moderate
Loam,Acidic,High,Adequate,Low,Deficient,Critical
Loam,Alkaline,Very High,Deficient,Excess,Low,Good
Loam,Slightly Acidic,Very High,High,Adequate,Excess,Critical
Loam,Slightly Acidic,Low,Adequate,High,High,Moderate
Silt,Alkaline,Low,High,Adequate,High,Poor
Sand,Slightly Acidic,High,Adequate,Adequate,Adequate,Critical
Chalk,Slightly Acidic,High,Deficient,Excess,High,Moderate
Sand,Slightly Alkaline,Very Low,High,Adequate,Low,Excellent
Loam,Neutral,Very High,Low,High,Deficient,Poor
Sand,Acidic,Very Low,Low,Adequate,Deficient,Good
Silt,Alkaline,Low,Deficient,Excess,Deficient,Moderate
Clay,Acidic,Low,Deficient,Low,High,Poor
Clay,Alkaline,Very Low,Deficient,High,Low,Good
Chalk,Alkaline,Very Low,Adequate,Excess,Low,Good
Chalk,Slightly Acidic,Low,Deficient,High,Adequate,Poor
Loam,Slightly Acidic,Very High,Excess,Deficient,High,Good
Chalk,Slightly Alkaline,Medium,Low,Low,Excess,Poor
Loam,Acidic,Very Low,Deficient,High,Adequate,Moderate
Silt,Alkaline,Medium,Adequate,Deficient,Low,Moderate
Loam,Acidic,Very High,Excess,Adequate,Excess,Good
Clay,Slightly Alkaline,Low,Deficient,Low,Deficient,Moderate
Chalk,Slightly Alkaline,High,High,Adequate,Deficient,Poor
Clay,Slightly Alkaline,Very High,Deficient,High,Excess,Moderate
Silt,Alkaline,Very High,Low,Deficient,Excess,Good
Loam,Acidic,Medium,Deficient,Deficient,Adequate,Moderate
Loam,Neutral,Very High,High,Low,Adequate,Excellent
Loam,Neutral,Medium,Deficient,Excess,Adequate,Good
Chalk,Slightly Alkaline,Medium,Deficient,Low,Excess,Moderate
Loam,Alkaline,Medium,Adequate,Excess,Low,Poor
Clay,Neutral,Low,Low,Low,Low,Poor
Chalk,Slightly Alkaline,Low,Low,Low,Adequate,Moderate
Chalk,Slightly Acidic,High,Deficient,High,Low,Good
Sand,Slightly Alkaline,Very Low,Deficient,High,Low,Good
Loam,Alkaline,Low,Excess,Adequate,High,Good
Chalk,Alkaline,High,Excess,Adequate,Low,Good
Sand,Slightly Acidic,Very Low,Adequate,Adequate,Adequate,Good
Chalk,Slightly Alkaline,Very High,Deficient,Low,Excess,Poor
Clay,Slightly Acidic,Medium,Excess,Excess,Deficient,Poor
Sand,Neutral,Medium,High,Deficient,Deficient,Moderate
Clay,Alkaline,High,Low,High,Excess,Good
Chalk,Alkaline,Very Low,High,Deficient,Excess,Good
Loam,Slightly Acidic,Medium,Low,Adequate,Deficient,Good
Chalk,Alkaline,High,Deficient,Excess,High,Poor
Clay,Alkaline,Very Low,Adequate,Low,Adequate,Moderate
Clay,Slightly Alkaline,Low,High,Excess,Adequate,Moderate
Sand,Acidic,Very Low,Adequate,Adequate,Deficient,Poor
Loam,Alkaline,Medium,Excess,High,Excess,Good
Silt,Slightly Acidic,High,Low,Low,High,Poor
Clay,Acidic,Very Low,Adequate,Adequate,Excess,Moderate
Chalk,Alkaline,Very High,Adequate,Adequate,Adequate,Good
Chalk,Slightly Acidic,High,Adequate,Low,Adequate,Critical
Chalk,Alkaline,Low,Excess,Adequate,Low,Moderate
Clay,Acidic,High,Low,Adequate,High,Moderate
Clay,Alkaline,High,Low,Deficient,High,Good
Chalk,Alkaline,Very Low,Low,Deficient,Low,Moderate
Clay,Slightly Acidic,Medium,Adequate,Low,Adequate,Good
Clay,Acidic,Low,Low,High,Deficient,Poor
Sand,Acidic,Medium,Adequate,Deficient,Excess,Moderate
Chalk,Slightly Acidic,Very Low,Excess,Adequate,High,Moderate
Sand,Slightly Alkaline,Very High,Excess,Excess,Excess,Good
Sand,Neutral,Low,Deficient,Adequate,High,Good
Silt,Alkaline,Low,Deficient,High,Excess,Good
Loam,Slightly Alkaline,Very Low,High,High,Deficient,Good
Silt,Neutral,Low,Excess,High,High,Good
Silt,Slightly Acidic,Medium,Adequate,Deficient,Excess,Good
Silt,Alkaline,Low,Deficient,Adequate,High,Good
Silt,Acidic,High,Deficient,Deficient,Low,Critical
Chalk,Slightly Alkaline,Very Low,High,Adequate,High,Moderate
Loam,Alkaline,High,Adequate,Excess,Deficient,Poor
Silt,Acidic,Very Low,Excess,High,Adequate,Moderate
Silt,Slightly Alkaline,Very Low,Excess,Adequate,Low,Poor
Clay,Neutral,Very High,High,Adequate,High,Good
Chalk,Slightly Acidic,Medium,Low,Deficient,Low,Good
Clay,Acidic,Low,Low,High,Adequate,Moderate
Clay,Slightly Alkaline,Medium,Deficient,High,Excess,Poor
Chalk,Slightly Alkaline,Very Low,Deficient,Deficient,Low,Good
Sand,Acidic,Very High,Adequate,Adequate,Low,Moderate
Clay,Slightly Alkaline,Very High,Low,Low,High,Good
Clay,Slightly Alkaline,Very High,Deficient,Deficient,Excess,Moderate
Silt,Acidic,Very High,Adequate,Low,High,Critical
Clay,Alkaline,Medium,Adequate,Low,Adequate,Poor
Silt,Acidic,Very Low,Adequate,High,Excess,Good
Silt,Acidic,Low,Deficient,High,Low,Excellent
Loam,Acidic,Very High,Deficient,High,Excess,Excellent
Silt,Alkaline,High,High,Deficient,Deficient,Critical
Silt,Slightly Alkaline,Very Low,Deficient,High,High,Good
Sand,Acidic,Low,Excess,Low,Excess,Good
Clay,Acidic,Low,High,Adequate,Adequate,Critical
Sand,Slightly Alkaline,Medium,High,High,Low,Moderate
Loam,Slightly Acidic,Very High,High,Adequate,Low,Good
Chalk,Slightly Acidic,High,Deficient,Low,Deficient,Good
Chalk,Slightly Alkaline,Medium,Low,Deficient,Deficient,Poor
Chalk,Acidic,Very Low,Low,Adequate,Adequate,Moderate
Clay,Slightly Alkaline,Very High,Adequate,Excess,Deficient,Excellent
Silt,Slightly Alkaline,High,Adequate,Adequate,Adequate,Poor
Clay,Neutral,High,Deficient,Excess,Adequate,Good
Sand,Neutral,Very High,Deficient,Excess,Deficient,Moderate
Clay,Alkaline,Medium,Excess,Excess,Deficient,Poor
Silt,Slightly Acidic,Low,Adequate,Deficient,Deficient,Moderate
Chalk,Acidic,Medium,Low,Excess,Excess,Poor
Silt,Neutral,Very Low,Excess,Deficient,Deficient,Critical
Clay,Alkaline,Very High,Adequate,Excess,Excess,Good
Silt,Neutral,Very Low,Excess,Adequate,Low,Excellent
Loam,Slightly Alkaline,Medium,Adequate,Adequate,Excess,Good
Clay,Neutral,Low,Deficient,Deficient,High,Excellent
Silt,Slightly Alkaline,High,Low,Deficient,Adequate,Excellent
Loam,Acidic,Very Low,High,Excess,Excess,Poor
Chalk,Acidic,High,High,Deficient,Deficient,Good
Silt,Acidic,Low,Excess,Deficient,Adequate,Good
Chalk,Slightly Acidic,Medium,Adequate,Excess,Excess,Excellent
Sand,Slightly Acidic,Low,Adequate,Deficient,Excess,Good
Loam,Slightly Alkaline,Medium,Low,High,High,Poor
Chalk,Neutral,High,Deficient,Low,Low,Moderate
Loam,Slightly Acidic,Low,Deficient,Adequate,Adequate,Critical
Sand,Neutral,Very High,Deficient,High,High,Poor
Chalk,Neutral,Very High,Excess,Deficient,High,Moderate
Silt,Alkaline,Very High,Low,High,High,Moderate
Loam,Slightly Alkaline,High,Low,High,Deficient,Good
Sand,Slightly Alkaline,High,Excess,Excess,Adequate,Poor
Silt,Slightly Acidic,Medium,Adequate,Adequate,Low,Moderate
Chalk,Slightly Acidic,Very Low,Low,Low,Adequate,Good
Chalk,Slightly Acidic,Very High,High,Low,Low,Good
Loam,Slightly Alkaline,Very Low,Deficient,Low,Excess,Moderate
Chalk,Neutral,Very Low,Deficient,High,High,Poor
Silt,Slightly Alkaline,Very High,Deficient,Adequate,Low,Moderate
Clay,Alkaline,High,Adequate,Low,Deficient,Good
Sand,Acidic,Very High,Deficient,Adequate,High,Moderate
Clay,Alkaline,High,High,Excess,Low,Moderate
Silt,Neutral,Very High,Adequate,Adequate,High,Moderate
Chalk,Neutral,High,Low,High,Adequate,Poor
Silt,Slightly Alkaline,Very High,Low,High,Low,Excellent
Chalk,Alkaline,Medium,Low,Adequate,Excess,Poor
Loam,Alkaline,High,Excess,Adequate,Excess,Critical
Clay,Slightly Alkaline,High,Adequate,Excess,High,Moderate
Chalk,Acidic,Very Low,High,High,Excess,Moderate
Chalk,Slightly Acidic,Very Low,Excess,Deficient,High,Moderate
Sand,Neutral,Low,Deficient,Deficient,High,Good
Loam,Alkaline,High,Deficient,Deficient,Adequate,Good
Sand,Slightly Alkaline,Very Low,Adequate,Excess,Low,Excellent
Silt,Slightly Acidic,Very Low,Adequate,High,Adequate,Poor
Sand,Slightly Acidic,Very Low,Adequate,Adequate,Deficient,Moderate
Chalk,Slightly Alkaline,High,Excess,Low,High,Good
Loam,Neutral,Very High,Low,Low,Low,Moderate
Silt,Slightly Acidic,Low,Excess,Excess,Low,Good
Chalk,Neutral,Very Low,Low,High,Adequate,Poor
Silt,Neutral,Medium,High,Low,High,Critical
Chalk,Alkaline,Medium,Excess,Excess,Adequate,Moderate
Clay,Acidic,Medium,Adequate,Low,Adequate,Good
Sand,Alkaline,High,Excess,Adequate,Deficient,Moderate
Silt,Slightly Acidic,High,Excess,High,Adequate,Moderate
Loam,Slightly Acidic,Very High,High,Low,Adequate,Moderate
Loam,Neutral,Medium,Deficient,Excess,Deficient,Good
Clay,Slightly Alkaline,Low,Deficient,Adequate,Adequate,Good
Clay,Alkaline,High,Excess,High,Adequate,Good
Loam,Alkaline,Medium,Low,Adequate,Excess,Poor
Silt,Alkaline,Very High,Adequate,Deficient,Adequate,Excellent
Clay,Acidic,Very High,Excess,Low,Low,Moderate
Loam,Slightly Acidic,High,Adequate,Excess,High,Moderate
Sand,Neutral,Medium,Deficient,High,Deficient,Moderate
Sand,Slightly Alkaline,Low,Low,High,Low,Moderate
Sand,Alkaline,Very High,Deficient,High,Adequate,Good
Silt,Alkaline,High,Excess,Deficient,Deficient,Poor
Silt,Slightly Acidic,Low,Excess,High,Excess,Excellent
Clay,Slightly Acidic,Low,Excess,Excess,Adequate,Poor
Clay,Neutral,Low,Low,Deficient,Deficient,Poor
Chalk,Slightly Alkaline,Low,Excess,Excess,Deficient,Good
Sand,Slightly Acidic,Very Low,Deficient,High,Low,Good
Chalk,Alkaline,Low,Low,Low,High,Moderate
Loam,Neutral,Very High,Deficient,Low,High,Good
Silt,Acidic,Medium,Low,High,Excess,Poor
Loam,Slightly Acidic,Low,Deficient,Excess,Adequate,Good
Chalk,Neutral,High,Low,Low,Excess,Moderate
Chalk,Neutral,Very High,High,Adequate,High,Poor
Clay,Slightly Alkaline,Medium,Adequate,Low,Adequate,Critical
Clay,Slightly Alkaline,Very Low,Excess,Low,High,Good
Loam,Neutral,High,Excess,Low,Deficient,Poor
Chalk,Acidic,Very Low,Excess,High,Excess,Good
Chalk,Neutral,Very Low,High,Deficient,High,Critical
Clay,Acidic,Very Low,Excess,Low,Deficient,Poor
Chalk,Slightly Alkaline,High,Excess,Adequate,Low,Critical
Clay,Slightly Alkaline,High,Low,High,Adequate,Moderate
Clay,Slightly Alkaline,Very High,High,Excess,Excess,Critical
Chalk,Acidic,Very High,Low,Deficient,Adequate,Moderate
Clay,Slightly Alkaline,High,High,High,Low,Moderate
Clay,Slightly Acidic,Very High,Excess,Deficient,Adequate,Moderate
Chalk,Slightly Acidic,Medium,Deficient,Low,Excess,Good
Sand,Neutral,Low,Deficient,High,Deficient,Poor
Chalk,Neutral,Medium,Adequate,Adequate,Adequate,Moderate
Chalk,Neutral,Very High,Deficient,High,Deficient,Poor
Chalk,Acidic,Very Low,Adequate,Deficient,Low,Good
Clay,Slightly Acidic,Very Low,Deficient,Deficient,Adequate,Excellent
Clay,Alkaline,Very Low,Low,Excess,Deficient,Moderate
Silt,Slightly Alkaline,Very Low,Deficient,Deficient,Adequate,Poor
Loam,Acidic,Low,Excess,Excess,High,Critical
Loam,Acidic,Very Low,High,Deficient,Deficient,Critical
Chalk,Neutral,Medium,Low,Adequate,Excess,Good
Chalk,Acidic,Very Low,Excess,Excess,Excess,Good
Silt,Slightly Acidic,Very Low,Excess,Deficient,Deficient,Moderate
Sand,Neutral,Very Low,Low,Excess,Deficient,Good
Clay,Slightly Alkaline,Very High,Adequate,Low,Low,Good
Clay,Acidic,Very Low,Excess,Deficient,Adequate,Poor
Chalk,Slightly Alkaline,Low,Low,High,High,Poor
Loam,Acidic,Low,Excess,Adequate,Deficient,Moderate
Loam,Slightly Alkaline,Medium,Deficient,High,Low,Good
Sand,Neutral,Very Low,Excess,High,Excess,Poor
Silt,Acidic,High,Low,Adequate,High,Critical
Loam,Slightly Acidic,High,Adequate,Low,Low,Poor
Loam,Slightly Alkaline,Low,Deficient,Excess,High,Good
Sand,Acidic,High,Excess,High,Low,Good
Silt,Acidic,Very High,Adequate,Excess,High,Poor
Sand,Acidic,High,Deficient,Adequate,Excess,Good
Sand,Slightly Acidic,High,Adequate,High,Low,Good
Silt,Slightly Acidic,High,Low,Adequate,Excess,Critical
Sand,Acidic,Medium,Adequate,Excess,Deficient,Poor
Clay,Neutral,Low,Low,Deficient,Low,Good
Silt,Acidic,Medium,High,High,High,Moderate
Loam,Acidic,Very Low,Deficient,Excess,Excess,Moderate
Chalk,Acidic,High,High,Low,Adequate,Good
Chalk,Acidic,High,Deficient,Excess,Excess,Moderate
Sand,Acidic,Very High,Excess,Low,Low,Good
Clay,Neutral,Very High,Excess,High,Low,Excellent
Clay,Neutral,High,Adequate,Adequate,Excess,Excellent
Sand,Neutral,Very Low,Excess,High,Adequate,Good
Sand,Slightly Acidic,Medium,High,Excess,High,Critical
Loam,Acidic,Medium,Deficient,Deficient,High,Critical
Loam,Acidic,Medium,Low,Deficient,Excess,Poor
Loam,Slightly Acidic,Very High,High,Low,Low,Moderate
Chalk,Acidic,Medium,High,Adequate,High,Good
Loam,Slightly Acidic,Low,Adequate,High,High,Good
Clay,Alkaline,Medium,Low,Deficient,Deficient,Moderate
Sand,Slightly Acidic,Low,Adequate,Excess,High,Moderate
Silt,Neutral,Very Low,High,High,Low,Good
Silt,Slightly Acidic,Low,High,Excess,Adequate,Critical
Loam,Alkaline,Low,Deficient,Low,Low,Good
Clay,Slightly Alkaline,Low,High,High,Adequate,Good
Clay,Slightly Alkaline,Low,High,Adequate,Deficient,Poor
Chalk,Alkaline,High,Low,High,High,Poor
Chalk,Slightly Alkaline,Very Low,High,Adequate,Excess,Critical
Clay,Slightly Acidic,Very High,Adequate,Low,Excess,Moderate
Sand,Slightly Alkaline,High,Low,Adequate,High,Moderate
Silt,Alkaline,Medium,Low,High,High,Good
Clay,Alkaline,High,Deficient,Deficient,Low,Good
Clay,Slightly Acidic,Medium,High,Deficient,Low,Poor
Chalk,Slightly Acidic,Low,Adequate,Adequate,Low,Good
Silt,Slightly Alkaline,Medium,Adequate,Deficient,High,Good
Loam,Alkaline,Low,Adequate,Adequate,Excess,Poor
Clay,Neutral,Very High,Excess,Low,Low,Poor
Loam,Slightly Acidic,High,Adequate,Adequate,Deficient,Excellent
Loam,Slightly Acidic,Very High,High,Deficient,Adequate,Good
Chalk,Slightly Acidic,Medium,Deficient,Excess,Low,Good
Silt,Alkaline,Very Low,Adequate,Excess,Adequate,Good
Loam,Neutral,Very Low,Low,High,Low,Good
Clay,Slightly Alkaline,Very High,Excess,High,High,Good
Clay,Slightly Acidic,Very High,High,Low,Adequate,Good
Silt,Slightly Acidic,Very Low,Low,Adequate,Low,Good
Clay,Slightly Acidic,High,Low,Deficient,Low,Poor
Loam,Slightly Acidic,Very Low,Deficient,Excess,Adequate,Good
Chalk,Acidic,High,Excess,Adequate,Adequate,Good
Sand,Acidic,Medium,Deficient,Adequate,Deficient,Excellent
Clay,Slightly Alkaline,Very High,Excess,High,Deficient,Poor
Chalk,Neutral,Very High,Adequate,Excess,Adequate,Critical
Loam,Neutral,Very Low,Low,Low,Adequate,Good
Clay,Neutral,Very High,Low,Low,Excess,Moderate
Clay,Slightly Alkaline,High,Excess,Low,Deficient,Good
Silt,Slightly Acidic,Low,High,Adequate,Deficient,Poor
Sand,Acidic,Medium,Low,Adequate,Excess,Good
Sand,Alkaline,Very High,Deficient,Excess,Deficient,Good
Loam,Alkaline,Medium,High,Adequate,Low,Critical
Sand,Alkaline,Medium,Adequate,Low,Excess,Moderate
Loam,Neutral,Medium,High,Low,Excess,Good
Loam,Acidic,Very High,Deficient,Deficient,Low,Good
Clay,Slightly Acidic,Low,Adequate,High,Deficient,Moderate
Loam,Neutral,High,High,Adequate,High,Excellent
Silt,Acidic,High,Excess,Excess,High,Poor
Sand,Alkaline,High,Adequate,Adequate,Adequate,Critical
Loam,Neutral,Very High,High,Low,Low,Excellent
Chalk,Alkaline,Very Low,Adequate,Adequate,High,Poor
Loam,Slightly Alkaline,Very Low,Deficient,Adequate,High,Good
Silt,Slightly Alkaline,High,High,Low,Adequate,Moderate
Loam,Slightly Alkaline,Medium,Excess,Deficient,Low,Excellent
Loam,Neutral,Very Low,Low,High,Excess,Excellent
Sand,Alkaline,Very Low,Excess,Excess,Adequate,Excellent
Chalk,Neutral,Very Low,Adequate,Adequate,Low,Poor
Sand,Neutral,Medium,Low,Deficient,Adequate,Good
Clay,Alkaline,Low,Deficient,Adequate,Deficient,Good
Chalk,Acidic,Medium,Low,High,Low,Good
Silt,Slightly Acidic,Very Low,High,Excess,Deficient,Poor
Sand,Slightly Acidic,Low,Excess,Excess,High,Moderate
Sand,Alkaline,Very Low,Low,Deficient,Deficient,Good
Clay,Slightly Acidic,Low,Deficient,Adequate,Deficient,Poor
Chalk,Alkaline,Very Low,High,Adequate,Deficient,Good
Silt,Acidic,Medium,Adequate,Deficient,Low,Good
Clay,Slightly Alkaline,Low,Excess,Deficient,High,Critical
Chalk,Slightly Acidic,Very High,Excess,Adequate,Adequate,Excellent
Chalk,Acidic,Very Low,Low,Deficient,Excess,Poor
Loam,Slightly Acidic,Very Low,High,Excess,Deficient,Moderate
Sand,Slightly Alkaline,Medium,Low,Adequate,High,Poor
Clay,Slightly Alkaline,Very High,Low,Excess,High,Critical
Loam,Alkaline,High,Adequate,Deficient,Excess,Moderate
Sand,Alkaline,High,Low,High,Low,Poor
